ticker,corp_name,delisting_date,delisting_reason,corp_code,listed_company
033880,블루멈,20090904," - 2회연속 자본잠식률 50% 이상
  - 2009.3.31 자본잠식률 50% 이상으로 관리종목 지정 후,
  최근 반기의 재무제표에 대한 감사인의 감사의견 거절",00244862,0
035500,써니트렌드,20090904,"-2회연속 자본잠식률 50%이상
 -2회연속 자기자본 10억원미만
 -자본잠식률 50%이상 및 자기자본 10억원미만으로 관리종목 지정후 최근 반기 재무제표에 대한 외부감사인의 감사의견 의견거절",00255309,0
046320,MTRON,20090828,2회연속 자본잠식률 50%이상 및 자기자본 10억원 미만,00252588,0
035950,케이알,20090821,감사범위제한으로 인한 감사의견거절 및 계속기업 불확실성으로 인한 감사의견거절 사유해소 확인서 미제출,00242439,0
038830,케이엠에스,20090808,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00271431,0
006210,휴리프,20090715,자본잠식(자본금의 50/100이상 잠식) 2년 계속,00142698,0
063280,사이버패스,20090708,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00336570,0
031800,ST&I,20090701,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00267997,0
052560,삼성수산,20090701,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00339063,0
079340,하이럭스,20090624,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00480844,0
036610,지디코프,20090617,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00254009,0
036270,헤쎄나,20090617,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00237260,0
039990,코아정보,20090610,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00259855,0
053070,트리니티,20090603,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00262044,0
038920,지이엔에프,20090529,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00265342,0
040020,사라콤,20090527,자본전액잠식,00271413,0
059720,야호,20090527,감사의견거절(감사범위제한),00348007,0
033720,블루스톤,20090515,감사의견거절(계속기업으로서의 존속능력에 대한 불확실성),00257194,0
036790,자강,20090515,감사의견거절(계속기업 존속 불확실성),00256292,0
000790,C&상선,20090513,감사의견 의견거절,00134060,0
013200,C&우방,20090513,감사의견 의견거절,00142564,0
008400,C&중공업,20090513,감사의견 의견거절,00150226,0
006070,기린,20090513,감사의견 의견거절,00106508,0
001970,신성건설,20090513,감사의견 의견거절,00173661,0
009690,케이엠에이치,20090513,감사의견 의견거절,00159908,0
048270,포넷,20090504,자본전액잠식,00328854,0
003990,BHK,20090430,감사의견 의견거절,00136235,0
004230,세신,20090430,감사의견 의견거절,00133928,0
053170,코스모스피엘씨,20090430,자본전액잠식,00353683,0
036360,3SOFT,20090429,감사의견거절(감사범위제한),00260903,0
026230,IDH,20090429,감사범위 제한에 따른 감사의견 거절,00113632,0
080570,IC코퍼레이션,20090429,감사의견거절(감사범위제한),00508566,0
077960,케이이엔지,20090429,감사의견거절(감사범위제한),00451268,0
071360,나노하이텍,20090429,감사의견거절(감사범위제한),00252375,0
081500,엑스씨이,20090429,감사의견거절(감사범위제한),00535773,0
025460,팬텀엔터그룹,20090429,감사범위 제한에 따른 감사의견 거절,00197324,0
056020,쿨투,20090429,감사의견거절(감사범위제한),00364670,0
001190,마이크로닉스,20090427,공시서류 미제출(사업보고서) 후 10일이내 미제출,00112068,0
036280,뉴켐진스템셀,20090424,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정",00188122,0
041310,모빌링크,20090423,자본전액잠식,00263991,0
052310,H1바이오,20090423,3회 연속 자기자본 50%초과 법인세비용차감전계속사업손실,00347363,0
036760,KNS홀딩스,20090423,"감사의견거절(감사범위제한), 법정제출기한까지 사업보고서를 제출하지 아니한 후 법정제출기한의 다음날부터 10일 이내에 사업보고서 미제출  ",00265218,0
038410,트라이콤,20090423,법정제출기한까지 사업보고서를 제출하지 아니한 후 법정제출기한의 다음날부터 10일 이내에 사업보고서 미제출,00261461,0
019640,희훈디앤지,20090423,자본전액잠식,00167378,0
076170,GBS,20090422,감사의견 의견거절,00471989,0
065910,PW제네틱스,20090418,감사의견거절(감사범위제한) ,00306986,0
007050,유리이에스,20090415,최종부도발생,00128731,0
073780,케이디세코,20090411,2회 연속 자본잠식률 50%이상,00321222,0
066200,이노블루,20090411,"2년연속 매출액 30억원 미달, 자본전액잠식",00361202,0
047370,에프아이투어,20090411,자본전액잠식,00325981,0
038810,포이보스,20090411,자본전액잠식,00264769,0
060550,우수씨엔에스,20090411,자본전액잠식,00360540,0
053890,미디어코프,20090411,자본전액잠식,00308948,0
079870,산양전기,20090411,자본전액잠식,00363325,0
016040,디에스피,20090411,자본전액잠식,00165565,0
078610,도움,20090411,자본전액잠식,00450728,0
005760,위너스인프라인,20090219,감사의견 의견거절,00165200,0
007640,HK저축은행,20090203,상장폐지신청(2009.01.12),00111014,0
072430,아이레보,20090203,상장폐지신청(2009.01.12),00451116,0
039060,아이비진,20081220,최종부도,00264839,0
050600,세라온,20080909,2회연속 자본잠식률 50%이상,00296069,0
060410,베스트플로우,20080825,2연속 자본잠식률 50%이상 및 자기자본 10억원 미만,00377814,0
034750,디씨씨,20080712,2분기 연속 거래실적부진사유 미해소,00255071,0
045760,한통데이타,20080613,감사의견거절(감사범위제한),00347619,0
060660,한도하이테크,20080503,감사의견거절(감사범위제한),00363033,0
044370,조이토토,20080503,감사의견거절(감사범위제한),00268482,0
033330,두림티앤씨,20080503,감사의견거절(감사범위제한),00119423,0
055970,에너윈,20080503,감사의견거절(감사범위제한),00364227,0
035270,청람디지탈,20080423,"법정제출기한까지 사업보고서를 제출하지 아니한 후
법정제출기한의 다음날부터 10일 이내에 사업보고서
미제출",00220552,0
057330,플래닛82,20080423,"최근 3사업연도 연속 자기자본 대비 50% 초과 법인세
비용차감전계속사업손실 발생",00301626,0
041940,한텔,20080423,2연속 자본잠식률 50% 이상,00294371,0
004530,SY,20080422,감사의견 의견거절,00151252,0
065810,UC아이콜스,20080417,"자본전액잠식, 2회연속 자본잠식률 50%이상, 2회연속 자기자본 10억원 미만",00257051,0
066330,시큐리티KOR,20080412,2연속 자본잠식률 50%이상 및 자기자본 10억원 미만,00405074,0
032590,엔토리노,20080412,자본전액잠식,00119733,0
042570,퓨쳐비젼,20080412,자본전액잠식,00288653,0
064720,모델라인,20080412,"자본전액잠식,최근3사업연도 연속
자기자본 대비 50%초과 법인세차감전계속사업손실",00368791,0
012460,우영,20080313,최종부도,00143013,0
015670,AP우주통신,20070912,감사의견 의견거절,00150183,0
038420,씨엔씨엔터,20070829,2회연속 자본잠식률 50% 이상 및 자기자본 10억원 미만,00234555,0
045310,이레전자산업,20070508,자본전액잠식,00303837,0
014900,삼보컴퓨터,20070425,자본전액잠식,00125929,0
025930,팬택,20070425,자본전액잠식,00207542,0
063350,팬택앤큐리텔,20070425,자본전액잠식,00375579,0
025830,한국합섬,20070425,감사의견 부적정,00160445,0
054790,제이엠피,20070424,감사의견거절,00234449,0
054440,엠텍반도체,20070413,자본전액잠식,00356644,0
054250,예일바이오텍,20070411,"감사의견거절, 자본전액잠식, 2년 연속 자본잠식률 50% 이상",00220446,0
037060,시큐어소프트,20070404,재감사보고서상 감사의견거절,00300256,0
048760,VK,20060722,최종부도,00275808,0
047420,레이더스컴퍼니,20060713,감사의견 범위제한 의견거절,00330017,0
016970,씨크롭,20060713,감사의견 의견거절,00140353,0
